Seccion,Prioridad,ID,Condicion / caso,Tipo cliente,Provincia,Volumen (cajas/mes),Que dice / hace el lead,Mensaje IA (humano),Tools / sistema,Estado Pipeline,Outcome / cierre,Notas
CASO_PRUEBA,1,C01,Apertura Beacons,otro,?,?,"Hola",Saludo + Beacons + tipo/interés,upsert,ia_atendiendo,—,Sandbox
CASO_PRUEBA,1,C02,Precios sin inventar,minorista,CBA,?,"¿Cuánto sale la caja?",Sin montos; insistir aproximado (a partir de 50); no handoff en 1ª,—,ia_atendiendo,—,
CASO_PRUEBA,1,C03,Consumidor basura,otro,—,—,"Quiero 1 wrap a domicilio",Cierre amable + ended,handoff_human descartado,descartado,descartado,
CASO_PRUEBA,1,C03b,Proveedor insumos,otro,—,—,"Quiero ser proveedor de ustedes",Mail Compras + ended,handoff_human descartado,descartado,descartado,Compras@coolmeals.com.ar
CASO_PRUEBA,1,C04,Hablar con humano ≠ ser rep,otro,CBA,?,"Quiero hablar con un representante",Cierre asesor contacta,handoff atencion_representante,atencion_representante,handoff_humano,NO columna quiere_ser_representante
CASO_PRUEBA,1,C05,Quiere SER representante,representante,—,—,"Quiero ser representante de ustedes",Cierre + handoff columna rep,decide_route + handoff,quiere_ser_representante,quiere_ser_representante,Sin menú aunque diga volumen
CASO_PRUEBA,1,C06,Fasón,fason,—,—,"Quiero marca propia / fasón",Cierre + handoff,decide_route + handoff,quiere_ser_fason,quiere_ser_fason,
CASO_PRUEBA,2,C07,Dist 4 SÍ luego ≥50 CBA,distribuidor,Córdoba,60,4 SÍ + CBA + 60 cajas,Menú muestras/pedido,upsert columna + decide_route menú,quiere_ser_distribuidor → atencion/muestras,—,Sin handoff solo por 4 SÍ
CASO_PRUEBA,2,C08,Dist 4 SÍ luego <50 Mendoza,distribuidor,Mendoza,20,4 SÍ + Mendoza 20,Derivar a dist zona,upsert + decide_route derive,quiere_ser_distribuidor → derivado_distribuidor,—,
CASO_PRUEBA,2,C09,Córdoba mayorista ≥50,mayorista,Córdoba,60,~60 bultos Córdoba,Menú muestras/pedido,decide_route coolMealsMenu,atencion_representante → muestras|pedido,—,
CASO_PRUEBA,2,C10,Córdoba mayorista <50,mayorista,Córdoba,20,~20 bultos Córdoba,Dist de zona o sin_cobertura,decide_route → derive o no_coverage,derivado_distribuidor|sin_cobertura,—,"Misma regla que resto del país; ya no operador solo por CBA"
CASO_PRUEBA,2,C11,Mendoza ≥50 (fuera CBA),mayorista,Mendoza,120,~120 cajas Mendoza,Menú muestras/pedido (volumen gana),decide_route coolMealsMenu,atencion_representante → muestras|pedido,—,"ANTES: iba a dist; AHORA menú Cool Meals"
CASO_PRUEBA,2,C12,Mendoza <50 con dist,minorista,Mendoza,null o <50,Rotisería Mendoza,Contacto + mensaje dist + despedida,mensaje → sync_derived → handoff,derivado_distribuidor,—,Sin request_samples Cool Meals; no hang post-contacto
CASO_PRUEBA,2,C13,Provincia sin cobertura,mayorista,La Rioja,20,Zona sin dist,Sin cobertura + aviso,handoff sin_cobertura,sin_cobertura,→ auto oculto ~5d (no Descartado),
CASO_PRUEBA,3,C14,Elige muestras tras menú,mayorista,CBA,60,Elige muestras + datos,Datos + mensaje rep seguimiento,request_samples + handoff_human muestras (ended),muestras,muestras,"Sheet logística; Kapso ended; card hasta Resultado"
CASO_PRUEBA,3,C15,Elige pedido tras menú,mayorista,CBA,60,Elige pedido,Asesor contacta,handoff,pedido_lead,pedido,Sin Sheet
CASO_PRUEBA,3,C15b,Cliente existente + pedido,distribuidor,cualquiera,—,"Somos clientes + necesito pedido",Asesor contacta sin pedir datos,handoff isCustomer,pedido_cliente,pedido,Skip gate contacto
CASO_PRUEBA,3,C16,Muestras pedidas sin calificar,?,?,"Quiero muestras",Seguir tipificar/zona/vol; NO armar envío aún,según decide_route,—,—,Muestras solo con coolMealsMenu
CASO_PRUEBA,3,C17,Local gastronómico = minorista,minorista,Mendoza,—,Rotisería/resto,Sin exigir volumen; ruteo zona,decide_route,derivado o sin_cobertura,—,
CASO_PRUEBA,3,C18,"Quiero 50 cajas" sin perfil chico,mayorista (interno),?,50+,Compra comercial,NO descartado; tipificar y ruteo,—,—,—,No basura
CASO_PRUEBA,4,C19,Abandono mid-flujo,ia_atendiendo,—,—,Deja de responder,~20h recontacto; ~24h Esperando; +24h Descartado,cron pipeline-timeouts,esperando_respuesta → descartado,descartado,
CASO_PRUEBA,4,C20,Sin cobertura auto cierre,sin_cobertura,—,—,Tras handoff sin cobertura,~5 días → oculto + ended (no Descartado),cron,finalizado+sin_cobertura,—,No Descartado
CASO_PRUEBA,4,C21,Resultado manual éxito/sin éxito,handoff activo,—,—,Operador elige Resultado,Card a Finalizado + Kapso ended,Pipeline UI,finalizado,finalizado_exito|sin_exito,También existe Descartado en desplegable
EMBALAJE,—,E01,Unidades por caja,—,—,—,—,—,—,—,—,"Wraps 24 / Platos 12 / Postres 24 / Palet 110 cajas todos"
EMBALAJE,—,E02,Conversión unidades→cajas,—,—,—,Lead habla en unidades,Convertir antes del umbral,—,—,—,wraps÷24 platos÷12 postres÷24
AUTO_CIERRE,—,A01,nuevo / ia_atendiendo inactivo ≥20h,—,—,—,Abandono,1 recontacto WA (misma columna),cron,mismo status,—,ABANDONED_NUDGE_HOURS
AUTO_CIERRE,—,A01b,nuevo / ia_atendiendo inactivo ≥24h,—,—,—,Abandono,Handoff → Esperando respuesta,cron,esperando_respuesta,—,ABANDONED_TO_WAITING_HOURS
AUTO_CIERRE,—,A02,esperando_respuesta finalize_at,—,—,—,Ventana +24h,Descartado + ended,cron,descartado,—,ESPERANDO_TO_FINALIZE_HOURS
AUTO_CIERRE,—,A03,sin_cobertura finalize_at,—,—,—,Ventana vencida (~5d),Cerrado oculto + ended (no Descartado),cron,finalizado+outcome sin_cobertura,—,SIN_COBERTURA_TO_DESCARTADO_HOURS
AUTO_CIERRE,—,A04,derivado / atencion / quiere_ser_* / pedidos,—,—,—,Handoff activo,NO auto; Resultado manual,—,según Resultado,—,"éxito / sin éxito / descartado. Muestras: Kapso ya ended; card igual hasta Resultado"
UI,—,U01,Menú lateral web,—,—,—,—,Visibles: Dashboard Pipeline Distribuidores Config comercial,—,—,—,"Ocultos por ahora: Muestras Conocimiento Prompt Manager (rutas viven)"
UI,—,U02,URLs y entornos,—,—,—,—,—,—,—,—,"Web https://tool-coolmeals-web.vercel.app | API https://tool-coolmeals-api-ten.vercel.app | WA prod +54 9 351 549-5440 | DEV=localhost+sandbox Kapso | docs/environments.md | Team Vercel FEcotech | Deploy CLI"
CASO_PRUEBA,4,C22,Recontacto <1 año ya calificado (no muestras),—,—,—,Mismo WA tras handoff (Atención/Derivado/etc.),Mensaje corto ya en proceso,upsert recontactLocked,misma card,—,No métrica nueva
CASO_PRUEBA,4,C22b,Recontacto tras Muestras,—,—,—,Mismo WA con card en Muestras (IA ended),Tipifica de cero,upsert 2ª card (spawnedAfterMuestras),muestras (1ª) + nueva,—,Pipeline rojo 1/2; Dashboard cuenta solo la 1ª
CASO_PRUEBA,4,C23,Contacto + Córdoba <50,mayorista,Córdoba,20,~20 bultos CBA,Pide nombre/negocio/tel; dist de zona o sin_cobertura,decide_route derive|no_coverage,derivado_distribuidor|sin_cobertura,—,"Ya no operador solo por CBA; no cerrar solo con perfil WA"
CASO_PRUEBA,4,C24,Volumen incerto Mendoza,mayorista,Mendoza,incierto,~20 pero no sé / precios,1ª: insistir aproximado (a partir de 50); 2ª sin nº → operador no dist,2ª: handoff atencion_representante,atencion_representante,—,No inventar bultos; no dist en 1ª negativa
CASO_PRUEBA,4,C25,Mismo tel 351 vs 54351,—,—,—,Cards 3513053755 y 543513053755,Pipeline rojo 1/2,canonicalizeArPhone,ambas cards,—,KPI = 1 (card más antigua)
UI,—,U03,Cards mismo teléfono Pipeline,—,—,—,—,Rojas + badge 1 (primera) / 2 (segunda) por teléfono canónico,—,—,—,Cerrar ambas con Resultado. 351… y 54351… = mismo.
HANDOFF,—,H01,Tabla handoff vs Kapso ended vs cierre ops,—,—,—,—,—,—,—,—,"Ver operator-cheat-sheet-bot.md §2"
REFS,—,R01,Fuentes de verdad,—,—,—,—,—,—,—,—,"routing.ts + coolmeals-bot-actions + workflow.ts | Docs: planilla + cheat-sheet + pipeline-bot-user-guide"
REFS,—,R02,Recontacto mismo teléfono 1 año,—,—,—,—,—,—,—,—,"Canon AR: 54+nacional sin 9 móvil. <1 año ya calificado (salvo muestras): no métrica nueva ni tipificar. Muestras: 2ª card fresca (KPI sigue 1ª). ≥1 año: nueva card + recalificar. Mid-flujo: seguir calificando. Dashboard: 1 tel = 1 lead (card más antigua)."
REFS,—,R03,Sandbox wipe,—,—,—,—,—,—,—,—,"Solo a pedido. SANDBOX_RESET_ENABLED=false. No cron 20 min permanente."
